total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
cosineNormalized2GramsBool,0,26,2,1,4,0,5,0,3,0
cosineNormalized2GramsNormalizedTermFrequency,0,28,2,1,4,0,5,0,3,0
cosineNormalized2GramsTermFrequency,0,22,2,1,4,0,4,0,3,0
cosineNormalized3GramsBool,0,28,2,1,5,0,6,0,4,1
cosineNormalized3GramsNormalizedTermFrequency,0,31,2,1,5,0,6,0,4,1
cosineNormalized3GramsTermFrequency,0,29,2,1,5,0,6,0,4,1
cosineNormalized4GramsBool,0,33,2,1,5,0,7,0,5,1
cosineNormalized4GramsNormalizedTermFrequency,0,33,2,1,5,0,6,0,5,1
cosineNormalized4GramsTermFrequency,0,35,3,1,5,0,7,0,5,1
cosineNormalized5GramsBool,0,35,2,1,6,0,7,0,5,1
cosineNormalized5GramsNormalizedTermFrequency,0,35,2,1,6,0,7,0,5,1
cosineNormalized5GramsTermFrequency,0,35,2,1,6,0,7,0,5,1
cosineNormalizedShingle2Bool,0,25,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2NormalizedTermFrequency,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle2TermFrequency,0,24,1,1,4, no result,5,0,3,0
cosineNormalizedShingle3Bool,0,25,1,1,5, no result,5,0,4, no result
cosineNormalizedShingle3NormalizedTermFrequency,0,25,1,1,5, no result,5,0,3, no result
cosineNormalizedShingle3TermFrequency,0,26,2,1,5, no result,5,0,3, no result
cosineNormalizedTokensBool,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensNormalizedTermFrequency,0,10,0,0,2,0,2,0,1,0
cosineNormalizedTokensTermFrequency,0,10,0,0,1,0,2,0,1,0
damerauLevenshteinNormalized,0,540,32,2,66,1,131,0,63,3
damerauLevenshteinStandard,0,535,31,2,71,1,133,0,62,3
dice2Grams,0,10,0,0,1,0,2,0,1,0
dice3Grams,0,12,1,2,2,0,2,0,2,0
dice4Grams,0,14,1,0,2,0,3,0,2,0
dice5Grams,0,14,1,0,2,0,3,0,2,0
diceNormalized2Grams,0,15,1,0,3,0,3,0,2,0
diceNormalized3Grams,0,19,1,0,3,0,4,0,2,0
diceNormalized4Grams,0,19,1,0,3,0,4,0,3,0
diceNormalized5Grams,0,20,1,0,3,0,4,0,3,0
diceNormalizedPadding2grams,0,16,1,0,2,0,3,0,2,0
diceNormalizedPadding3grams,0,18,1,0,6,0,4,0,3,0
diceNormalizedPadding4grams,0,20,1,0,3,0,4,0,3,1
diceNormalizedPadding5grams,0,20,1,0,3,0,4,0,3,0
diceNormalizedShingles2,0,21,1,1,3, no result,4,0,2,0
diceNormalizedShingles3,0,22,1,1,4, no result,4,0,3, no result
diceNormalizedTokens,0,7,0,0,1,0,1,0,1,0
diceShingles2,0,10,0,0,2, no result,1,0,1,0
diceShingles3,0, no result,0,0,2, no result,2,0,1, no result
diceTokens,0,3,0,0,0,0,0,0,0,0
